indicator,length_a,length_b,ratio,spearman_z_pooled,spearman_mean_arith,spearman_p25,spearman_p75,frames,frames_dropped,frames_above_revert,pct_above_revert,verdict,price_level,beyond_documented_gate_e,note
rsi,7,14,2.0,0.9316,0.9316,0.9293,0.9335,89,0,89,100.0,revert - redundant,False,False,
rsi,7,28,4.0,0.7765,0.7763,0.7704,0.7817,89,0,0,0.0,ship with disclosure,False,False,
rsi,7,50,7.14,0.6318,0.6315,0.6211,0.6408,89,0,0,0.0,ship,False,False,
rsi,14,28,2.0,0.9364,0.9363,0.9345,0.9385,89,0,89,100.0,revert - redundant,False,False,
rsi,14,50,3.57,0.814,0.8135,0.8067,0.8209,89,0,0,0.0,ship with disclosure,False,True,
rsi,28,50,1.79,0.9559,0.9555,0.954,0.9586,89,0,89,100.0,revert - redundant,False,False,
ema,10,20,2.0,0.999,0.9978,0.9979,0.9996,89,0,89,100.0,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,10,50,5.0,0.9926,0.9835,0.9847,0.9973,89,0,89,100.0,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,10,150,15.0,0.9704,0.9325,0.9448,0.9899,89,0,70,78.7,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,10,200,20.0,0.961,0.9126,0.9281,0.987,89,0,69,77.5,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,20,50,2.5,0.9963,0.9916,0.9922,0.9986,89,0,89,100.0,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,20,150,7.5,0.9757,0.9433,0.9545,0.9917,89,0,71,79.8,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,20,200,10.0,0.9664,0.9235,0.9378,0.9888,89,0,70,78.7,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,50,150,3.0,0.9872,0.9671,0.9781,0.9955,89,0,80,89.9,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,50,200,4.0,0.9788,0.9485,0.9611,0.9928,89,0,71,79.8,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
ema,150,200,1.33,0.9979,0.993,0.9966,0.9992,89,0,88,98.9,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
sma,10,20,2.0,0.998,0.9957,0.9958,0.9992,89,0,89,100.0,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
sma,10,50,5.0,0.9878,0.9737,0.9754,0.9954,89,0,84,94.4,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
sma,10,200,20.0,0.9439,0.8776,0.8885,0.9805,89,0,65,73.0,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
sma,20,50,2.5,0.9928,0.9843,0.9854,0.9972,89,0,89,100.0,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
sma,20,200,10.0,0.949,0.8883,0.8987,0.9825,89,0,66,74.2,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
sma,50,200,4.0,0.9629,0.9164,0.929,0.9877,89,0,70,78.7,revert - redundant,True,False,"raw output scales with price -- a dead ML feature by the fork's contract, so a second length is a second dead feature; the distance form is what would earn a column"
natr,7,14,2.0,0.9633,0.9626,0.9591,0.9675,89,0,89,100.0,revert - redundant,False,False,
natr,7,28,4.0,0.8693,0.866,0.8541,0.8886,89,0,11,12.4,ship with disclosure,False,True,
natr,14,28,2.0,0.9607,0.959,0.9552,0.9683,89,0,89,100.0,revert - redundant,False,False,
willr,7,14,2.0,0.8453,0.8444,0.833,0.8499,89,0,0,0.0,ship with disclosure,False,True,
willr,7,28,4.0,0.6754,0.6744,0.6536,0.6857,89,0,0,0.0,ship,False,False,
willr,14,28,2.0,0.8568,0.856,0.8441,0.8642,89,0,0,0.0,ship with disclosure,False,True,
cci,10,20,2.0,0.8608,0.8606,0.8561,0.8642,89,0,0,0.0,ship with disclosure,False,True,
cci,10,40,4.0,0.6713,0.671,0.6621,0.6825,89,0,0,0.0,ship,False,False,
cci,20,40,2.0,0.8695,0.8693,0.8642,0.874,89,0,0,0.0,ship with disclosure,False,True,
roc,5,10,2.0,0.6711,0.6707,0.6575,0.6841,89,0,0,0.0,ship,False,False,
roc,5,20,4.0,0.4812,0.4809,0.4644,0.4931,89,0,0,0.0,ship,False,False,
roc,10,20,2.0,0.6859,0.6853,0.6756,0.6963,89,0,0,0.0,ship,False,False,
stdev,10,20,2.0,0.9089,0.8924,0.8575,0.937,89,0,55,61.8,revert - redundant,False,False,
stdev,10,40,4.0,0.8379,0.8091,0.7586,0.8877,89,0,18,20.2,ship with disclosure,False,True,
stdev,20,40,2.0,0.9082,0.889,0.8664,0.9378,89,0,52,58.4,revert - redundant,False,False,
zscore,10,20,2.0,0.8672,0.867,0.8626,0.8702,89,0,0,0.0,ship with disclosure,False,True,
zscore,10,50,5.0,0.6196,0.6192,0.6102,0.6291,89,0,0,0.0,ship,False,False,
zscore,20,50,2.5,0.8145,0.8141,0.8071,0.8222,89,0,0,0.0,ship with disclosure,False,True,
