tier,name,files_using,files_without_lib_import,files_with_lib_import,in_tradingview_ta_library,pandas_ta_equivalent,verdict,audited,audit_evidence,note,probe_env
1,sma,677,664,13,0,sma,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:110 `ta.sma(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 287 bars,pandas_ta.sma,talib 0.7.1; pandas 2.3.3
1,ema,593,579,14,0,ema,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:112 `ta.ema(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 287 bars,pandas_ta.ema,talib 0.7.1; pandas 2.3.3
1,atr,522,513,9,0,atr,have,no,,"pandas_ta.atr (⚠ inherits `rma`'s divergence: `pandas_ta.atr` smooths the true range with `pandas_ta.rma`, which is `ewm(adjust=True)` rather than Wilder's recursion. Max divergence 0.0349 from the Pine formula.)",talib 0.7.1; pandas 2.3.3
1,highest,332,324,8,0,highest,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.highest)",talib 0.7.1; pandas 2.3.3
1,crossover,322,315,7,0,cross,have,no,,"pandas_ta.cross | PINEBI-0b not certified: boolean event, not a series; needs its own comparison shape",talib 0.7.1; pandas 2.3.3
1,crossunder,307,301,6,0,cross,have,yes,"core namespace, no library body; pandas_ta/utils/_signals.py:79 -- `cross = current & previous if above else` is upward-only by default. Caveated.","pandas_ta.cross (⚠ ⚠ DIRECTION: `pandas_ta.cross` defaults `above=True` and detects UPWARD crosses only; a crossunder needs `cross(a, b, above=False)`)",talib 0.7.1; pandas 2.3.3
1,lowest,306,298,8,0,lowest,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.lowest)",talib 0.7.1; pandas 2.3.3
1,rsi,287,283,4,0,rsi,have,no,,pandas_ta.rsi | PINEBI-0b not certified: Pine seeds rma differently on the first bar; measured but not pinned,talib 0.7.1; pandas 2.3.3
1,change,240,230,10,0,mom,have,yes,core `ta.change` defaults to 1; pandas_ta/momentum/mom.py:8 `else 10`. Caveated.,pandas_ta.mom (⚠ Pine's `ta.change` defaults to length 1; `pandas_ta.mom` defaults to 10),talib 0.7.1; pandas 2.3.3
1,pivothigh,235,229,6,0,pivothigh,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.pivothigh)",talib 0.7.1; pandas 2.3.3
1,pivotlow,230,224,6,0,pivotlow,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.pivotlow)",talib 0.7.1; pandas 2.3.3
1,stdev,200,192,8,0,stdev,have,yes,"core defaults `biased=true` (ddof=0); pandas_ta/statistics/stdev.py:7 `ddof=1` in the signature -- genuinely differs, unlike `variance`. Caveated.",pandas_ta.stdev (⚠ Pine defaults `biased=true` (ddof=0); pandas_ta defaults to 1),talib 0.7.1; pandas 2.3.3
1,rma,116,110,6,0,rma,have,no,,"pandas_ta.rma (⚠ `pandas_ta.rma` is `ewm(alpha=1/length, adjust=True)` -- verified bit-equal to that -- which is NOT Wilder's smoothing. Pine's `ta.rma` is the SMA-seeded `adjust=False` recursion. Max divergence 0.2138 on a ~103 price, and 189 of 287 bars differ by more than 1e-6, so this is a permanent difference, not a warm-up.)",talib 0.7.1; pandas 2.3.3
1,wma,115,106,9,0,wma,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:116 `ta.wma(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 287 bars,pandas_ta.wma,talib 0.7.1; pandas 2.3.3
1,vwap,108,106,2,0,vwap,have,no,,pandas_ta.vwap | PINEBI-0b not certified: session-anchored in Pine; the fork's anchor rule is not comparable,talib 0.7.1; pandas 2.3.3
1,tr,87,84,3,0,true_range,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:121 `ta.true_range(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 299 bars,pandas_ta.true_range,talib 0.7.1; pandas 2.3.3
1,macd,81,79,2,0,macd,have,no,,pandas_ta.macd | PINEBI-0b not certified: 3 outputs; Pine's signal-line smoothing default is not pinned here,talib 0.7.1; pandas 2.3.3
1,dmi,80,77,3,0,adx,have,no,,pandas_ta.adx | PINEBI-0b not certified: 3 outputs (+DI/-DI/ADX); Wilder smoothing seed differs by source,talib 0.7.1; pandas 2.3.3
1,vwma,69,66,3,0,vwma,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:158 `ta.vwma(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 287 bars,pandas_ta.vwma,talib 0.7.1; pandas 2.3.3
1,valuewhen,60,58,2,0,valuewhen,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.valuewhen)",talib 0.7.1; pandas 2.3.3
1,barssince,58,56,2,0,barssince,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.barssince)",talib 0.7.1; pandas 2.3.3
1,stoch,55,54,1,0,stoch,have,yes,core `ta.stoch` is raw %K; pandas_ta/momentum/stoch.py:12 `smooth_k` resolves to 3. Caveated.,pandas_ta.stoch (⚠ Pine's `ta.stoch` is the raw %K; `pandas_ta.stoch` smooths it unless `smooth_k=1`),talib 0.7.1; pandas 2.3.3
1,hma,52,47,5,0,hma,have,no,,"pandas_ta.hma (⚠ Pine's `ta.hma` smooths with `math.round(sqrt(length))`; `pandas_ta/overlap/hma.py` uses `int(sqrt(length))` (floor). At length=14 the roots are 4 vs 3 and the outputs differ by 0.474 on a ~103 price. Differs at every length where floor != round: 7, 14, 15, 22, 23, 30, ...)",talib 0.7.1; pandas 2.3.3
